Genus	GQ	Species	SQ	Subspecies	Author	Comment	onButton	abbreviation	HigherTaxon
Hexalonche		esmarki			Goll and Bjoerklund 		n		Actinommidae
Hexalonche		heteracantha			Popofsky		n		Actinommidae
Hexalonche		nakasekoi	?		Petrushevskaya and Kozlova 		y	D nakasekoi	Actinommidae
Hexalonche		philosophica			Haeckel		n		Actinommidae
Hexapyle		dodecantha			Haeckel		n		Pyloniidae
Hexastylus		dimensivus			Haeckel		n		Actinommidae
Hexastylus		triaxonius			Haeckel		n		Actinommidae
Hiscocapsa		asseni			Tan		n		others
Hiscocapsa		grutterinki			Tan		n		others
Hiscocapsa		rutteri			Tan		n		others
Hiscocapsa		verbeeki			Tan		n		others
Histiastrum		cruciferum			Lipman		n		others
Histiastrum		quaternarium			Ehrenberg		n		Pyloniidae
Holocryptocanium		barbui			Dumitrica		n		others
Holocryptocapsa		hindei			Tan		n		others
Joergensenium		rotatile			Bjorklund		n		Actinommidae
Kilinora		spiralis			Matsuoka		n		others
Lamprocyclas		aegles			Ehrenberg 		n		Pterocorythidae
Lamprocyclas		hadros			Nigrini and Caulet 		n		Pterocorythidae
Lamprocyclas		hannai			(Campbell and Clark) Sanfilippo et al.		y	A hannai	Pterocorythidae
Lamprocyclas		inexpectata			Caulet		n		Pterocorythidae
Lamprocyclas		junonis			(Haeckel) Petrushevskaya and Kozlova		n		Pterocorythidae
Lamprocyclas		margatensis			(Campbell and Clark) Caulet		n		Pterocorythidae
Lamprocyclas		maritalis			Haeckel		y	C maritalis	Pterocorythidae
Lamprocyclas		matakohe			O'Connor		n		Pterocorythidae
Lamprocyclas		prionotocodon			Caulet 		n		Pterocorythidae
Lamprocyclas		rhinoceros			(Haeckel) Petrushevskaya and Kozlova		n		Pterocorythidae
Lamprocylcas		particollis			OConnor		n		others
Lamprocyrtis		daniellae			Caulet 		n		Pterocorythidae
Lamprocyrtis		heteroporos			(Hays) Kling		y	D heteroporos	Pterocorythidae
Lamprocyrtis		neoheteroporos			Kling		y	S neoheteroporo	Pterocorythidae
Lamprocyrtis		nigriniae			(Caulet) Kling		y	P nigriniae	Pterocorythidae
Lampromitra		coronata			Haeckel		n		Theoperidae
Lampromitra		cracenta			Takahashi		n		Theoperidae
Lampromitra		danaes			(Haeckel)		n		Theoperidae
Lampromitra		parabolica			Popofsky		n		Theoperidae
Lampromitra		pentalactis			(Haeckel) 		n		Theoperidae
Lampromitra		quadricuspis			Haeckel		n		Theoperidae
Lampromitra		schultzei			(Haeckel) Takahashi		n		Theoperidae
Lampromitra		spinosiretis			Takahashi		n		Theoperidae
Lampromitra		tiara			Dumitrica 		n		Theoperidae
Lamprospyris		hookeri			Haeckel		n		Trissocyclidae
Lamprotripus		mawsoni			(Riedel) Petrushevskaya and Kozlova		n		Plagiacanthidae
Lamptonium		colymbus			Foreman		n		Theoperidae
Lamptonium		fabaeforme			Riedel		n		Theoperidae
Lamptonium		incohatum			Foreman		n		Theoperidae
Lamptonium		obelix			Sanfilippo		n		Theoperidae
Lamptonium		pennatum			Foreman		n		Theoperidae
Lamptonium		sanfilippoae			Foreman		n		Theoperidae
Larcopyle		augusti			Lazarus et al.		n		Litheliidae
Larcopyle		buetschlii			Dreyer 		n		Litheliidae
Larcopyle		eccentricum			Lazarus et al.		n		Litheliidae
Larcopyle		frakesi			(Chen) Lazarus et al.		n		Litheliidae
Larcopyle		hayesi			(Chen) Lazarus et al.		n		Litheliidae
Larcopyle		labryinthusa			Lazarus et al.		n		Litheliidae
Larcopyle		nebulum			Lazarus et al.		n		Litheliidae
Larcopyle		peregrinator			Lazarus et al.		n		Litheliidae
Larcopyle		polyacantha			(Campbell and Clark) Lazarus et al.		y	L polyacantha	Litheliidae
Larcopyle		pylomaticus			(Riedel) Lazarus et al.		n		Litheliidae
Larcopyle		titan			(Campbell and Clark) Lazarus et al.		n		Litheliidae
Larcopyle		weddellium			Lazarus et al.		n		Litheliidae
Larcospira		bulbosa			Goll and Bjoerklund		n		Pyloniidae
Larcospira		moschkovskii			Kruglikova 		n		Pyloniidae
Larcospira		quadrangula			Haeckel		n		Pyloniidae
Leptosphaera		minuta			Popofsky		n		Actinommidae
Liosphaera		antarctica			Nakaseko 		n		Actinommidae
Lipmanella		acanthica			(Joergensen) Petrushevskaya and Kozlova		n		Theoperidae
Lipmanella		bombus			Haeckel 		n		Theoperidae
Lipmanella		dictyoceras			(Haeckel) Kling		n		Theoperidae
Lipmanella		insectum			Haeckel 		n		Theoperidae
Lipmanella		irregularis			(Cleve) Loeblich and Tappan		n		Theoperidae
Lipmanella		lithomelissa		amazon	Petrushevskaya and Kozlova		n		others
Lipmanella		tribranchiata			Dumitrica 		n		Theoperidae
Lipmanella		xiphephorum			Joergensen 		n		Theoperidae
Liriospyris		clathrata			(Ehrenberg) Haeckel		n		Trissocyclidae
Liriospyris		cricus			Westberg-Smith and Riedel 		n		Trissocyclidae
Liriospyris		elevata			Goll 		n		Trissocyclidae
Liriospyris		geniculosa			Goll		n		Trissocyclidae
Liriospyris		globosa			Goll 		n		Trissocyclidae
Liriospyris		hexapoda			Haeckel		n		Trissocyclidae
Liriospyris		insulae			Nishimura		n		others
Liriospyris		longicornuta			Goll		n		Trissocyclidae
Liriospyris		mutuaria			Goll		y	A mutuaria	Trissocyclidae
Liriospyris		ovalis			Goll 		n		Trissocyclidae
Liriospyris		parkerae			Riedel and Sanfilippo		n		Trissocyclidae
Liriospyris		reticulata			(Ehrenberg) Goll		n		Trissocyclidae
Liriospyris		spinulosa			(Ehrenberg) Goll		n		Trissocyclidae
Liriospyris		stauropora			(Haeckel) Goll		n		Trissocyclidae
Lithamphora		sacculifera			Petrushevskaya		n		others
Lithapium		anoectum			Riedel		n		Theoperidae
Lithapium		mitra			(Ehrenberg) Riedel and Sanfilippo		y	C mitra	Theoperidae
Lithapium		plegmacantha			Riedel		n		Theoperidae
Litharachnium		eupilium			Takahashi		n		Theoperidae
Litharachnium		tentorium			Haeckel		n		Theoperidae
Lithatractus		timmsi			Campbell and Clark		n		Actinommidae
Lithelius		foremanae			Sanfilippo		n		Litheliidae
Lithelius		minor			Joergensen		y	L minor	Litheliidae
Lithelius		nautiloides			Popofsky		y	L nautiloides	Litheliidae
Lithelius		spiralis			Haeckel		n		Litheliidae
Lithobotrys		galea			Ehrenberg		n		Cannobotryidae
Lithocampana		lithoconella			Clark and Campbell		n		Theoperidae
Lithocampe		marinae			Kozlova		n		others
Lithocarpium		fragilis			(Stoehr) Petrushevskaya		n		Litheliidae
Lithochytris		archaea			Riedel and Sanfilippo		n		Theoperidae
