Genus	GQ	Species	SQ	Subspecies	Author	HigherTaxon	Comment	onButton	abbreviation
Ceratocyrtis	 	histricosa	 	 	 	Nasselaria		y	histricosa
Ceratocyrtis	 	mashae	 	 	 	Nasselaria		y	mashae
Ceratocyrtis	 	robustus	 	 	 	Nasselaria		n	Cer rob
Ceratocyrtis	?	sp12	 	 	 	Nasselaria		n	Cer sp1
Ceratocyrtis	 	sp13	 	 	 	Nasselaria		n	Cer sp1
Ceratocyrtis	 	dolvenianus	 	 	 	Nasselaria		n	Cer dol
Ceratocyrtis	?	spF	 	 	 	Nasselaria		n	Cer spF
Ceratocyrtis	?	spK	 	 	 	Nasselaria		n	Cer spK
Ceratocyrtis	 	stoermeri	 	 	 	Nasselaria		y	stoermeri
Ceratocyrtis	 	morawanensis	 	 	 	Nasselaria		y	morawan
Ceratospyris		borealis				Nasselaria		n	Cer bor
Ceratospyris	 	laventaensis	 	 	 	Nasselaria		n	Cer lav
Challengeron	 	diodon?	 	 	 	Collo/Entact/Phaeo		n	Cha dio
Challengeron	 	lingi	 	 	 	Collo/Entact/Phaeo		n	Cha lin
Circodiscus	 	ellipticus	 	 	 	Spumellaria		y	Circod
Cladococcus	 	spI	 	 	 	Spumellaria		n	Cla spI
Cladoscenium	 	ancoratum	 	 	 	Nasselaria		y	Cla anc
Chitascenium		cranites	 	 	 	Nasselaria		n	Cla gro
Cladoscenium	 	tricolpium	 	 	 	Nasselaria		n	Cla tri
Clathrocanium	 	coarctatum	 	 	 	Nasselaria		n	Cla coa
Clathrocorys	 	murrayi	 	 	 	Nasselaria		n	Cla mur
Clathrocorys	?	spJ	 	 	 	Nasselaria		n	Cla spJ
Clathromitra	 	pentacantha	 	 	 	Nasselaria		n	Cla pen
Clathromitra	 	pterophormis	 	 	 	Nasselaria		n	Cla pte
Clathromitra	?	spM	 	 	 	Nasselaria		n	Cla spM
Clinorhabdus		anantomus				Nasselaria		n	Cli ana
Collosphaera	 	huxleyi	 	 	 	Collo/Entact/Phaeo		n	Col hux
Collosphaera	 	macropora	 	 	 	Collo/Entact/Phaeo		n	Col mac
Collosphaera	?	pyloma	 	 	 	Spumellaria		n	Col pyl
Collosphaerid	 	reynoldsi	 	 	 	Collo/Entact/Phaeo		n	Col rey
SIphonosphaera		abelmannae	 	 	 	Collo/Entact/Phaeo		n	SIp abe
Collosphaerid	 	spD	 	 	 	Collo/Entact/Phaeo		n	Col spD
Cornutella	 	clathrata	 	 	 	Nasselaria		n	Cor cla
Cornutella	 	profunda	 	 	 	Nasselaria		y	Cor pro
Cornutellid	 	spA	 	 	 	Nasselaria		n	Cor spA
Corythomelissa	 	horrida	 	 	 	Nasselaria		n	Cor hor
Corythospyris	 	fiscella	 	 	 	Nasselaria		y	Cor fis
Corythospyris	 	jubata	 	 	 	Nasselaria		y	Cor jub
Cubotholus	 	spp	 	 	 	Spumellaria		n	Cub spp
Cycladophora	 	antiqua	 	 	 	Nasselaria		n	antiqua
Cycladophora	 	bicornis	 	 	 	Nasselaria		y	Cyc bic
Cycladophora	 	campanula	 	 	 	Nasselaria		n	Cyc cam
Cycladophora	 	conica	 	 	 	Nasselaria		n	Cyc con
Cycladophora	 	cornutoides	 	 	 	Nasselaria		y	cornutoides
Cycladophora	 	cosma	 	 	 	Nasselaria		y	Cyc cos
Cycladophora	 	davisiana	 	 	 	Nasselaria		y	Cyc dav
Cycladophora	 	golli	 	golli	 	Nasselaria		y	C g golli
Cycladophora	 	golli	 	regipileus	 	Nasselaria		y	C g regi
Cycladophora	 	humerus	 	 	 	Nasselaria		y	Cyc hum
Cycladophora	 	pliocenica	 	 	 	Nasselaria		y	Cyc pli
Cycladophora	 	robusta	 	 	 	Nasselaria		n	Cyc rob
Cycladophora	 	rosetta	 	 	 	Nasselaria		n	Cyc ros
Cycladophora	 	spA	 	 	 	Nasselaria		n	Cyc spA
Cycladophora	 	spB	 	 	 	Nasselaria		n	Cyc spB
Cycladophora	 	spongothorax	 	 	 	Nasselaria		y	Cyc spo
Cyrtocapsella	 	japonica	 	 	 	Nasselaria		n	Cyr jap
Cyrtocapsella	 	longithorax	 	 	 	Nasselaria		y	Cyr lon
Cyrtocapsella	 	robusta	 	 	 	Nasselaria		y	Cyr rob
Cyrtocapsella	 	tetrapera	 	 	 	Nasselaria		y	Cyr tet
Cyrtolagena	 	laguncula	 	 	 	Nasselaria		n	Cyr lag
Cystophormis	 	brevispina	 	 	 	Nasselaria		y	Cys bre
Cystophormis	 	ob	 	 	 	Nasselaria		y	Cys ob
