Genus	GQ	Species	SQ	Subspecies	Author	HigherTaxon	Comment	onButton	abbreviation
Rhizosphaera	 	holtedahli	 	 	 	Spumellaria		n	Rhi hol
Rhodospyris	?	spD	 	 	 	Nasselaria		n	Rho spD
Rhodospyris	 	spN	 	 	 	Nasselaria		n	Rho spN
Saccospyris	 	antarctica	 	 	 	Nasselaria		y	Sac ant
Saccospyris	 	conithorax	 	 	 	Nasselaria		y	Sac con
Saccospyris	 	praeantarctica	 	 	 	Nasselaria		y	Sac pra
Saturnalis	 	circularis	 	 	 	Spumellaria		n	Sat cir
Schizodiscus	 	favus	 	 	 	Spumellaria		n	Sch fav
Schizodiscus	 	spatangus	 	 	 	Spumellaria		n	Sch spa
Sethoconus	 	tabulatus	 	 	 	Nasselaria		n	Set tab
Sethophormis	 	aurelia	 	 	 	Nasselaria		n	Set aur
Siphocampe	 	arachnea	 	 	 	Nasselaria		y	Sip ara
Siphocampe	 	pachyderma	 	 	 	Nasselaria		n	Sip pac
Siphocampe	 	quadrata	 	 	 	Nasselaria		n	Sip qua
Siphonosphaera	 	magnisphaera	 	 	 	Collo/Entact/Phaeo		n	Sip mag
Siphonosphaera	 	martensi	 	 	 	Collo/Entact/Phaeo		n	Sip mar
Siphonosphaera	 	vesuvius	 	 	 	Collo/Entact/Phaeo		n	Sip ves
Siphostichoartus	 	corona	 	 	 	Nasselaria		n	Sip cor
Siphostichoartus	 	jahnae		 	 	Nasselaria		n	Sip jah
Sphaeropyle	 	antarctica	 	 	 	Spumellaria		n	Sph ant
Sphaeropyle	 	langii	 	 	 	Spumellaria		n	Sph lan
Sphaeropyle	 	robusta	 	 	 	Spumellaria		y	Sph rob
Sphaerostylus	 	rosetta	 	 	 	Spumellaria		n	Sph ros
Sphaerozoum	 	punctatum	 	 	 	Collo/Entact/Phaeo		n	Sph pun
Spirocyrtis	?	hollisi	 	 	 	Nasselaria		n	Spi hol
Spirocyrtis	 	subscalaris	 	 	 	Nasselaria		n	Spi sub
Spongaster	 	cruciferus	 	 	 	Spumellaria		n	Spo cru
Spongaster	 	tetras	 	 	 	Spumellaria		n	Spo tet
Spongocore	 	puella	 	 	 	Spumellaria		n	Spo pue
Spongodiscid	 	groupG	 	 	 	Spumellaria		n	Spo gro
Spongodiscid	 	spA	 	 	 	Spumellaria		n	Spo spA
Spongodiscid	 	spH	 	 	 	Spumellaria		n	Spo spH
Spongodiscus	 	craticulatus	 	 	 	Spumellaria		y	Spo cra
Spongodiscus	 	osculosus	 	 	 	Spumellaria		y	Spo osc
Spongomelissa	 	dilli	 	 	 	Nasselaria		n	Spo dil
Spongoplegma	?	spD	 	 	 	Spumellaria		y	Spo spD
Spongoplegma	 	variabile	 	 	 	Spumellaria		y	Spo var
Spongotrochus	 	glacialis	 	 	 	Spumellaria		y	Spo gla
Spumellarian	 	groupA	 	 	 	Spumellaria		n	Spu gro
Spumellarian	 	spB	 	 	 	Spumellaria		n	Spu spB
Spumellarian	 	spC	 	 	 	Spumellaria		n	Spu spC
Spumellarian	 	spD	 	 	 	Spumellaria		n	Spu spD
Stauroxiphos	 	communis	 	 	 	Spumellaria		y	Sta com
Stichocorys	 	peregrina	 	 	 	Nasselaria		y	Sti per
Stichocorys		delmontensis				Nasselaria		n	Sti del
Stichophormis	 	cheni	 	 	 	Nasselaria		n	Sti che
Stichopilium	 	bicorne	 	 	 	Nasselaria		n	Sti bic
Stichopilium	 	variabile	 	 	 	Nasselaria		n	Sti var
Streblacantha	 	circumtexta	 	 	 	Spumellaria		n	Str cir
Stylacontarium		acquilonius				Spumellaria		n	Sty acq
Stylacontarium	 	bispiculum	 	 	 	Spumellaria		y	Sty bis
Stylatractid	 	groupA	 	 	 	Spumellaria		n	Sty gro
Stylatractus	 	neptunus	 	 	 	Spumellaria		y	Sty nep
Stylatractus	 	santaennae	 	 	 	Spumellaria		y	Sty san
Stylatractus		universus				Spumellaria		y	Sty uni
Stylatractus	 	spD	 	 	 	Spumellaria		n	Sty spD
Stylochlamydium	 	venustum	 	 	 	Spumellaria		y	Sty ven
Stylodictya	 	aculeata	 	 	 	Spumellaria		n	Sty acu
Stylodictya	 	ocellata	 	 	 	Spumellaria		n	Sty oce
Stylodictya	 	validispina	 	 	 	Spumellaria		y	Sty val
Stylosphaera	 	angelina	 	 	 	Spumellaria		y	Sty ang
Stylosphaera	 	laevis	 	 	 	Spumellaria		n	Sty lae
Stylosphaera	 	minor	 	 	 	Spumellaria		n	Sty min
Stylosphaera	 	radiosa	 	 	 	Spumellaria		y	Sty rad
Styptosphaera	 	spongiacea	 	 	 	Spumellaria		n	Sty spo
Tetraplecta	 	pinigera	 	 	 	Nasselaria		n	Tet pin
Tetraplecta	 	sp16	 	 	 	Nasselaria		n	Tet sp1
Tetrapyle	 	octacantha	 	 	 	Spumellaria		y	Tet oct
Tetraspyris		tetracorethra				Nasselaria		n	Tet tet
Thecosphaera	 	inermis	 	 	 	Spumellaria		n	The ine
Thecosphaera	 	japonica	 	 	 	Spumellaria		y	The jap
Thecosphaera	 	miocenica	 	 	 	Spumellaria		n	The mio
Thecosphaera	 	pseudojaponica	 	 	 	Spumellaria		n	The pse
Thecosphaera	 	sanfilippoae	 	 	 	Spumellaria		n	The san
Theocorys	 	redondoensis	 	 	 	Nasselaria		n	The red
Theocorys		veneris				Nasselaria		n	The ven
Theocorythium	 	trachelium	 	 	 	Nasselaria		n	The tra
Theocyrtis	 	diabloensis	 	 	 	Nasselaria		n	The dia
Tholospyris	 	baconiana	 	 	 	Nasselaria		n	Tho bac
Tholospyris	 	cortinisca	 	 	 	Nasselaria		n	Tho cor
Tholospyris	 	gephyristes	 	 	 	Nasselaria		n	Tho gep
Thyrsocyrtis	 	clausa	 	 	 	Nasselaria		n	Thy cla
Triceraspyris	 	antarctica	 	 	 	Nasselaria		y	Tri ant
Triceraspyris	 	coronata	 	 	 	Nasselaria		y	Tri cor
Triceraspyris	 	spL	cf T.coronata	 	 	Nasselaria		y	Tri spL
Triceraspyris	?	spQ	 	 	 	Nasselaria		n	Tri spQ
Triospyrid	 	groupJ	 	 	 	Nasselaria		n	Tri gro
Triospyrid	 	spA	 	 	 	Nasselaria		y	Tri spA
Triospyrid	 	spC	 	 	 	Nasselaria		n	Tri spC
Triospyrid	 	spI	 	 	 	Nasselaria		n	Tri spI
Triospyrid	 	spK				Nasselaria		n	Tri spK
Triospyrid	 	spM	 	 	 	Nasselaria		y	Tri spM
Triospyrid	 	spO	 	 	 	Nasselaria		n	Tri spO
Triospyrid	 	spP	 	 	 	Nasselaria		n	Tri spP
Triospyrid	 	spS	 	 	 	Nasselaria		y	Tri spS
Dendrospyris	?	jobstae	 	 	 	Nasselaria		n	Den job
Tripophaenoscenium	 	laimingi	 	 	 	Nasselaria		n	Tri lai
Trisolenia	 	megalactis	 	 	 	Collo/Entact/Phaeo		n	Tri meg
Trisulcus	 	nanus	 	 	 	Nasselaria		y	Tri nan
Trisulcus	 	pinguiculus	 	 	 	Nasselaria		y	Tri pin
Undetermined	 	 	 	 	 	 		y	Undet
Velicucullus	 	altus	 	 	 	Nasselaria		y	Vel alt
Velicucullus	 	oddgurneri	 	 	 	Nasselaria		y	Vel odd
Zygocircus	?	spA	 	 	 	Nasselaria		n	Zyg spA
